vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value,period
018-32157,2023-01-02,Eurofins,0.0,0.0,CA_mg/l,nan,1.3,new
018-32157,2023-01-02,Eurofins,0.0,0.0,CA_mg/l,nan,1.3,new
018-32157,2023-01-02,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.0,new
018-32157,2023-01-02,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.5,new
021-28450,2023-01-09,Eurofins,0.0,0.0,ALK_mmol/l,nan,0.04,new
021-28450,2023-01-09,Eurofins,0.0,0.0,ALK_mmol/l,<,0.03,new
021-28450,2023-01-09,Eurofins,0.0,0.0,ANC_µekv/l,nan,99.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,ANC_µekv/l,nan,61.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,CA_mg/l,nan,2.4,new
021-28450,2023-01-09,Eurofins,0.0,0.0,CA_mg/l,nan,1.5,new
021-28450,2023-01-09,Eurofins,0.0,0.0,CL_mg/l,nan,22.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,CL_mg/l,nan,11.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,75.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,86.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,KOND_mS/m,nan,8.71,new
021-28450,2023-01-09,Eurofins,0.0,0.0,KOND_mS/m,nan,4.88,new
021-28450,2023-01-09,Eurofins,0.0,0.0,K_mg/l,nan,0.48,new
021-28450,2023-01-09,Eurofins,0.0,0.0,K_mg/l,nan,0.37,new
021-28450,2023-01-09,Eurofins,0.0,0.0,LAL_µg/l Al,nan,15.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,LAL_µg/l Al,nan,24.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,MG_mg/l,nan,0.59,new
021-28450,2023-01-09,Eurofins,0.0,0.0,MG_mg/l,nan,0.42,new
021-28450,2023-01-09,Eurofins,0.0,0.0,N-NO3_µg/l N,nan,350.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,N-NO3_µg/l N,nan,290.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,N-TOT_µg/l N,nan,480.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,N-TOT_µg/l N,nan,420.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,NA_mg/l,nan,14.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,NA_mg/l,nan,7.1,new
021-28450,2023-01-09,Eurofins,0.0,0.0,P-TOT_µg/l P,nan,5.2,new
021-28450,2023-01-09,Eurofins,0.0,0.0,P-TOT_µg/l P,nan,5.1,new
021-28450,2023-01-09,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.2,new
021-28450,2023-01-09,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.6,new
021-28450,2023-01-09,Eurofins,0.0,0.0,RAL_µg/l Al,nan,90.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,RAL_µg/l Al,nan,110.0,new
021-28450,2023-01-09,Eurofins,0.0,0.0,SIO2_µg/l Si,nan,1215.612516644474,new
021-28450,2023-01-09,Eurofins,0.0,0.0,SIO2_µg/l Si,nan,888.3322237017311,new
