vannmiljo_code,month,new,his_min,his_median,his_max
018-32157,4,3.0,4.0,4.0,5.0
020-79149,4,1.0,3.0,3.5,4.0
020-97010,4,1.0,3.0,3.0,3.0
020-97010,5,1.0,4.0,4.0,4.0
020-97010,6,1.0,2.0,2.0,2.0
021-28451,4,2.0,3.0,3.0,5.0
021-45780,4,1.0,2.0,2.0,2.0
022-97011,4,3.0,4.0,4.0,4.0
022-97011,6,2.0,3.0,3.0,3.0
026-97012,4,2.0,3.0,3.0,3.0
026-97012,6,1.0,2.0,2.0,2.0
036-58863,4,1.0,4.0,4.0,5.0
036-58863,5,1.0,3.0,4.0,5.0
036-58863,6,1.0,2.0,2.0,3.0
038-58747,4,3.0,4.0,4.0,5.0
038-58747,6,1.0,2.0,2.0,3.0
038-58854,4,3.0,4.0,4.5,5.0
038-58854,6,1.0,2.0,2.5,3.0
038-58867,6,1.0,2.0,2.0,3.0
082-50219,6,1.0,2.0,3.0,3.0
082-50557,6,1.0,2.0,2.0,3.0
082-58871,6,1.0,2.0,2.0,3.0
082-58873,6,1.0,2.0,3.0,3.0
082-58874,6,1.0,2.0,2.0,3.0
082-58877,6,1.0,2.0,2.0,3.0
082-81553,6,1.0,2.0,2.0,3.0
082-81554,6,1.0,2.0,2.0,3.0
