vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value
018-32157,2020-02-17,VestfoldLAB,0.0,0.0,CA_mg/l,nan,1.17
018-32157,2020-02-17,VestfoldLAB,0.0,0.0,CA_mg/l,nan,1.15
018-32157,2020-02-17,VestfoldLAB,0.0,0.0,PH_<ubenevnt>,nan,6.24
018-32157,2020-02-17,VestfoldLAB,0.0,0.0,PH_<ubenevnt>,nan,6.02
018-32157,2020-02-17,VestfoldLAB,0.0,0.0,TEMP_°C,nan,1.5
018-32157,2020-02-17,VestfoldLAB,0.0,0.0,TEMP_°C,nan,2.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,ALK_mmol/l,nan,0.074
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,ALK_mmol/l,nan,0.054
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,ANC_µekv/l,nan,72.11408642918215
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,ANC_µekv/l,nan,41.073325477465225
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,CA_mg/l,nan,1.25
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,CA_mg/l,nan,0.87
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,CL_mg/l,nan,6.4
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,CL_mg/l,nan,6.6
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,ILAL_µg/l Al,nan,69.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,ILAL_µg/l Al,nan,27.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,KOND_mS/m,nan,3.6
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,KOND_mS/m,nan,3.5
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,K_mg/l,nan,0.31
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,K_mg/l,nan,0.31
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,LAL_µg/l Al,nan,48.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,LAL_µg/l Al,nan,35.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,MG_mg/l,nan,0.52
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,MG_mg/l,nan,0.54
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,N-NO3_µg/l N,nan,340.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,N-NO3_µg/l N,nan,270.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,N-TOT_µg/l N,nan,400.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,N-TOT_µg/l N,nan,360.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,NA_mg/l,nan,4.75
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,NA_mg/l,nan,4.32
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,P-TOT_µg/l P,nan,32.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,P-TOT_µg/l P,nan,1.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,PH_<ubenevnt>,nan,6.28
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,PH_<ubenevnt>,nan,6.05
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,RAL_µg/l Al,nan,117.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,RAL_µg/l Al,nan,62.0
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,SIO2_µg/l Si,nan,1552.2436750998668
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,SIO2_µg/l Si,nan,1168.858189081225
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,SO4_mg/l,nan,2.2
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,SO4_mg/l,nan,1.9
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,TOC_mg/l C,nan,3.8
024-58894,2020-01-06,VestfoldLAB,0.0,0.0,TOC_mg/l C,nan,3.3
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,ALK_mmol/l,nan,0.034
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,ALK_mmol/l,nan,0.025
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,ANC_µekv/l,nan,-1.545802049025824
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,ANC_µekv/l,nan,-11.251583011566868
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,CA_mg/l,nan,0.42
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,CA_mg/l,nan,0.41
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,CL_mg/l,nan,5.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,CL_mg/l,nan,5.7
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,ILAL_µg/l Al,nan,78.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,ILAL_µg/l Al,nan,29.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,KOND_mS/m,nan,2.6
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,KOND_mS/m,nan,2.9
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,K_mg/l,nan,0.2
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,K_mg/l,nan,0.23
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,LAL_µg/l Al,nan,91.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,LAL_µg/l Al,nan,71.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,MG_mg/l,nan,0.35
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,MG_mg/l,nan,0.42
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,N-NO3_µg/l N,nan,180.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,N-NO3_µg/l N,nan,170.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,N-TOT_µg/l N,nan,300.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,N-TOT_µg/l N,nan,280.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,NA_mg/l,nan,2.97
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,NA_mg/l,nan,3.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,P-TOT_µg/l P,nan,1.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,P-TOT_µg/l P,nan,1.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,PH_<ubenevnt>,nan,5.11
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,PH_<ubenevnt>,nan,5.01
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,RAL_µg/l Al,nan,169.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,RAL_µg/l Al,nan,100.0
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,SIO2_µg/l Si,nan,818.2007323568575
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,SIO2_µg/l Si,nan,720.0166444740346
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,SO4_mg/l,nan,1.6
024-58895,2020-01-06,VestfoldLAB,0.0,0.0,SO4_mg/l,nan,1.5
