sample_date,vannmiljo_code,lab,period,depth1,depth2,par,value,outlier
2020-07-06,018-32152,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.15,1
2020-07-06,018-32152,VestfoldLAB,new,0.0,0.0,K_mg/l,0.31,1
2020-07-06,019-44498,VestfoldLAB,new,0.0,0.0,ALK_mmol/l,0.11,1
2020-07-06,019-44498,VestfoldLAB,new,0.0,0.0,K_mg/l,0.73,1
2020-07-06,019-44498,VestfoldLAB,new,0.0,0.0,N-TOT_µg/l N,540.0,1
2020-08-03,019-44498,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,121.0,1
2020-05-11,019-58793,VestfoldLAB,new,0.0,0.0,ILAL_µg/l Al,5.0,1
2020-03-02,02.01-58890,VestfoldLAB,new,0.0,0.0,MG_mg/l,0.76,1
2020-08-02,020-40521,VestfoldLAB,new,0.0,0.0,N-TOT_µg/l N,550.0,1
2020-08-02,020-40521,VestfoldLAB,new,0.0,0.0,P-TOT_µg/l P,85.0,1
2020-04-06,020-44497,VestfoldLAB,new,0.0,0.0,CL_mg/l,6.0,1
2020-04-06,020-44497,VestfoldLAB,new,0.0,0.0,KOND_mS/m,3.4,1
2020-04-06,020-44497,VestfoldLAB,new,0.0,0.0,NA_mg/l,3.82,1
2020-03-23,020-45013,VestfoldLAB,new,0.0,0.0,CA_mg/l,4.39,1
2020-04-27,020-79149,VestfoldLAB,new,0.0,0.0,CA_mg/l,4.11,1
2020-04-13,021-28450,VestfoldLAB,new,0.0,0.0,CA_mg/l,4.83,1
2020-04-20,021-28450,VestfoldLAB,new,0.0,0.0,CA_mg/l,5.58,1
2020-04-27,021-28450,VestfoldLAB,new,0.0,0.0,CA_mg/l,5.79,1
2020-03-02,021-28450,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,57.0,1
2020-02-03,021-28451,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,36.0,1
2020-03-02,021-28451,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,37.0,1
2020-08-03,022-32018,VestfoldLAB,new,0.0,0.0,ILAL_µg/l Al,184.0,1
2020-08-03,022-32019,VestfoldLAB,new,0.0,0.0,ILAL_µg/l Al,118.0,1
2020-01-06,022-32019,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,44.0,1
2020-03-02,022-32019,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,58.0,1
2020-08-03,022-32019,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,155.0,1
2020-01-06,022-32020,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,49.0,1
2020-02-03,022-32020,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,42.0,1
2020-03-02,022-32020,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,72.0,1
2020-07-06,022-32020,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,57.0,1
2020-01-06,022-44499,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,54.0,1
2020-02-03,022-44499,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,35.0,1
2020-08-03,022-44499,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,37.0,1
2020-01-06,023-58885,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,56.0,1
2020-03-02,024-44500,VestfoldLAB,new,0.0,0.0,CL_mg/l,8.4,1
2020-01-06,024-44500,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,44.0,1
2020-04-06,024-44500,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,35.0,1
2020-07-06,024-44500,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,44.0,1
2020-03-02,024-44500,VestfoldLAB,new,0.0,0.0,MG_mg/l,0.58,1
2020-08-03,024-58898,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,169.0,1
2020-01-06,026-30849,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,56.0,1
2020-01-06,026-30849,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,79.0,1
2020-08-03,026-58858,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,61.0,1
2020-04-06,026-58859,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.42,1
2020-04-13,026-58859,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.45,1
2020-05-18,026-58859,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.55,1
2020-05-25,026-58859,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.64,1
2020-04-20,026-58859,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,11.0,1
2020-03-02,026-58902,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.69,1
2020-07-06,026-58902,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.57,1
2020-08-03,026-58902,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,81.0,1
2020-07-06,026-82802,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.3,1
2020-04-06,026-82802,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,68.0,1
2020-08-03,026-82802,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,84.0,1
2020-08-03,027-28435,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,50.0,1
2020-08-03,027-38543,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,25.0,1
2020-08-03,027-38543,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,54.0,1
2020-03-02,027-58828,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,111.0,1
2020-07-06,027-58829,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,117.0,1
2020-08-03,027-58831,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,52.0,1
2020-08-03,027-58832,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,63.0,1
2020-08-03,027-58833,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,50.0,1
2020-03-23,027-58847,VestfoldLAB,new,0.0,0.0,CA_mg/l,6.14,1
2020-08-03,030-47471,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,98.0,1
2020-01-13,030-58836,VestfoldLAB,new,0.0,0.0,CA_mg/l,3.61,1
2020-06-08,030-58837,VestfoldLAB,new,0.0,0.0,N-TOT_µg/l N,780.0,1
2020-03-02,030-58838,VestfoldLAB,new,0.0,0.0,ALK_mmol/l,0.19,1
2020-03-02,030-58838,VestfoldLAB,new,0.0,0.0,N-NO3_µg/l N,1700.0,1
2020-04-06,030-58838,VestfoldLAB,new,0.0,0.0,N-NO3_µg/l N,1500.0,1
2020-08-03,030-58838,VestfoldLAB,new,0.0,0.0,N-NO3_µg/l N,2400.0,1
2020-03-02,030-58838,VestfoldLAB,new,0.0,0.0,N-TOT_µg/l N,1700.0,1
2020-04-06,030-58838,VestfoldLAB,new,0.0,0.0,N-TOT_µg/l N,1600.0,1
2020-08-03,030-58838,VestfoldLAB,new,0.0,0.0,N-TOT_µg/l N,2200.0,1
2020-07-06,031-38523,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,97.0,1
2020-03-02,032-58839,VestfoldLAB,new,0.0,0.0,CL_mg/l,10.4,1
2020-07-06,032-58839,VestfoldLAB,new,0.0,0.0,ILAL_µg/l Al,131.0,1
2020-03-02,032-58839,VestfoldLAB,new,0.0,0.0,MG_mg/l,0.72,1
2020-07-06,032-58839,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,162.0,1
2020-08-03,032-58839,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,111.0,1
2020-07-06,032-59587,VestfoldLAB,new,0.0,0.0,ALK_mmol/l,0.11,1
2020-07-06,032-59587,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.37,1
2020-07-06,032-59587,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,95.0,1
2020-05-25,036-58750,VestfoldLAB,new,0.0,0.0,CA_mg/l,15.6,1
2020-03-02,036-58754,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.13,1
2020-01-06,036-58754,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,43.0,1
2020-03-02,036-58754,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,52.0,1
2020-04-02,036-58754,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,41.0,1
2020-04-20,036-58754,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,36.0,1
2020-07-06,036-58754,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,38.0,1
2020-02-24,036-58860,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.57,1
2020-03-09,036-58863,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.22,1
2020-04-27,045-58809,VestfoldLAB,new,0.0,0.0,ILAL_µg/l Al,17.0,1
2020-05-04,045-58809,VestfoldLAB,new,0.0,0.0,ILAL_µg/l Al,21.0,1
2020-08-03,045-58809,VestfoldLAB,new,0.0,0.0,ILAL_µg/l Al,26.0,1
2020-08-03,045-58809,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,32.0,1
2020-05-04,045-58810,VestfoldLAB,new,0.0,0.0,ILAL_µg/l Al,22.0,1
2020-08-03,045-58810,VestfoldLAB,new,0.0,0.0,ILAL_µg/l Al,30.0,1
2020-08-03,045-58810,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,40.0,1
2020-05-25,061-58800,VestfoldLAB,new,0.0,0.0,CA_mg/l,3.53,1
2020-06-08,061-58800,VestfoldLAB,new,0.0,0.0,CA_mg/l,2.39,1
2020-02-24,079-58878,VestfoldLAB,new,0.0,0.0,CA_mg/l,10.8,1
2020-03-02,079-58878,VestfoldLAB,new,0.0,0.0,CA_mg/l,25.8,1
2020-03-16,079-58878,VestfoldLAB,new,0.0,0.0,CA_mg/l,10.0,1
2020-04-06,079-58878,VestfoldLAB,new,0.0,0.0,CA_mg/l,22.0,1
2020-03-02,079-58878,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,99.0,1
2020-03-02,079-58878,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,111.0,1
2020-01-13,079-58879,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.57,1
2020-01-06,082-50219,VestfoldLAB,new,0.0,0.0,LAL_µg/l Al,44.0,1
2020-01-06,082-50219,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,99.0,1
2020-04-13,082-50557,VestfoldLAB,new,0.0,0.0,CA_mg/l,2.37,1
2020-05-11,082-58871,VestfoldLAB,new,0.0,0.0,CA_mg/l,1.4,1
2020-07-06,082-58875,VestfoldLAB,new,0.0,0.0,P-TOT_µg/l P,20.0,1
2020-08-03,082-58875,VestfoldLAB,new,0.0,0.0,RAL_µg/l Al,139.0,1
2020-02-24,082-58877,VestfoldLAB,new,0.0,0.0,CA_mg/l,5.94,1
2020-03-09,082-58877,VestfoldLAB,new,0.0,0.0,CA_mg/l,2.25,1
